deployment,year,year_range,project_na,subproject,camera_tra,project_tr,camera_bra,camera_mod,cam_num,sd_num,Cam_SD,round,media_type,phase,protocol,HEXID,northing,easting,latitude,longitude,deployme_1,deployme_2,last_pic_d,last_use_d,collection,collecti_1,cam_nights,total_imag,forest_or_,forest_eco,habitat,setting,bushnell_b,bushnell_1,battery_pe,battery__1,device_wor,lithium_or,tem_logger,snowstake_,cam_orient,cam_orie_1,tree_speci,cam_lost,FLAG,FLAG_comme,deployme_3,distance,ORIG_FID,Shape_Leng,Shape_Area,Buffer,Buffer_cam
C0011,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,2,Bushnell,Bushnell HD,17,24,C017_SD024,1,camera,,,,4920602.56000000000,460191.10000000000,44.43763020000,-75.50022194000,15-Nov-2018,,,2-Mar-2019,4-Mar-2019,,,0,Beaver Creek,,Deciduous,,0,0,0,0,TRUE,,,,178,,red maple,,,,no lock,3.52300000000,11,22135.66183720000,38991968.32620000000,P2,P2_C0011
C0012,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,2,Bushnell,Bushnell HD,18,16,C018_SD016,1,camera,,,,4917411.42000000000,487175.39000000000,44.40987492000,-75.16107236000,6-Dec-2018,,,24-Jan-2019,24-Jan-2019,,,67,Whippoorwill,,Pine,,3,0,0,0,TRUE,,,,92,,white pine,,,,,3.52300000000,12,22135.66183720000,38991968.32620000000,P2,P2_C0012
C0013,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,1,Browning,,21,21,C021_SD021,1,camera,,,,4920874.49000000000,493992.29000000000,44.44114036000,-75.07549478000,26-Nov-2018,,,25-Feb-2019,28-Feb-2019,,,0,Donnerville,,Deciduous,,0,0,0,0,TRUE,,,,226,,white ash,,,,tree half dead,3.52300000000,13,22135.66183720000,38991968.32620000000,P2,P2_C0013
C0014,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,1,Browning,,22,18,C022_SD018,1,camera,,,,4945091.94000000000,515261.57000000000,44.65902900000,-74.80750076000,27-Nov-2018,,,28-Jan-2019,31-Jan-2019,,,375,Whisky Flats,,Pine,,0,0,55,0,TRUE,,,,224,,eastern hemlock,,,,,3.52300000000,14,22135.66183720000,38991968.32620000000,P2,P2_C0014
C0015,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,3,Browning,,23,3,C023_SD003,1,camera,,,,4913592.32000000000,441788.81000000000,44.37326954000,-75.73065569000,14-Nov-2018,,,9-Feb-2019,11-Feb-2019,,,120,South Hammond,,Deciduous,,0,0,0,0,TRUE,,,,304,,white pine,,,,,3.52300000000,15,22135.66183720000,38991968.32620000000,P2,P2_C0015
C0016,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,1,Browning,,24,4,C024_SD004,1,camera,,,,4921194.19000000000,460572.23000000000,44.44297153000,-75.49547834000,15-Nov-2018,,,5-Dec-2018,4-Mar-2019,,,0,Beaver Creek,,Deciduous,,0,0,0,0,TRUE,,,,286,,red oak,,,,,3.52300000000,16,22135.66183720000,38991968.32620000000,P2,P2_C0016
C0017,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,1,Browning,,25,9,C025_SD009,1,camera,,,,4915450.74000000000,442539.34000000000,44.39006448000,-75.72144180000,14-Nov-2018,,,16-Jan-2019,11-Feb-2019,,,86,South Hammond,,Deciduous,,0,0,0,0,TRUE,,,,51,,red oak,,,,Placed on a game trail,3.52300000000,17,22135.66183720000,38991968.32620000000,P2,P2_C0017
C0018,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,3,Browning,,27,8,C027_SD008,1,camera,,,,4919972.95000000000,492262.30000000000,44.43301240000,-75.09722106000,13-Dec-2018,,,25-Feb-2019,25-Feb-2019,,,48,Donnerville,,Deciduous,,0,0,83,0,TRUE,,,,331,,yellow birch,,TRUE,Incorrect year (says 2018),,3.52300000000,18,22135.66183720000,38991968.32620000000,P2,P2_C0018
C0019,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,1,Browning,,28,15,C028_SD015,1,camera,,,,4911948.37000000000,492204.95000000000,44.36076376000,-75.09782183000,26-Nov-2018,,,7-Feb-2019,7-Feb-2019,,,18,Degrasse,,Pine,,0,0,0,0,TRUE,,,,298,,red pine,,TRUE,Dates for photos 1-7 are incorrect,,3.52300000000,19,22135.66183720000,38991968.32620000000,P2,P2_C0019
C0020,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,3,Browning,,29,19,C029_SD019,1,camera,,,,4912603.06000000000,493718.64000000000,44.36667537000,-75.07883412000,26-Nov-2018,,,1-Feb-2019,7-Feb-2019,,,540,Degrasse,,Pine,,0,0,0,0,TRUE,,,,18,,red maple,,,,,3.52300000000,20,22135.66183720000,38991968.32620000000,P2,P2_C0020
C0021,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,3,Browning,,30,20,C030_SD020,1,camera,,,,4919711.31000000000,459928.53000000000,44.42958549000,-75.50345259000,15-Nov-2018,,,,4-Mar-2019,,,0,Beaver Creek,,Deciduous,,0,0,0,0,TRUE,,,,270,,red maple,,TRUE,Incorrect dates,Incorrect Dates,3.52300000000,21,22135.66183720000,38991968.32620000000,P2,P2_C0021
C0022,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,1,Bushnell,Bushnell HD,31,6,C031_SD006,1,camera,,,,4917408.82000000000,488085.21000000000,44.40987246000,-75.14964559000,6-Dec-2018,,,24-Jan-2019,24-Jan-2019,,,79,Whippoorwill,,Pine,,0,0,82,0,TRUE,,,,58,,red pine,,TRUE,Dates incorrect until photo 28,Dates incorrect until photo 28,3.52300000000,22,22135.66183720000,38991968.32620000000,P2,P2_C0022
C0023,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,3,Browning,,32,17,C032_SD017,1,camera,,,,4916918.68000000000,486998.34000000000,44.40544237000,-75.16328434000,6-Dec-2018,,,24-Jan-2019,24-Jan-2019,,,367,Whippoorwill,,Pine,,0,0,77,0,TRUE,,,,138,,eastern hemlock,,,,Hemlock is dead,3.52300000000,23,22135.66183720000,38991968.32620000000,P2,P2_C0023
C0024,2018,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,3,Browning,,33,1,C033_SD001,1,camera,,,,4944215.50000000000,516901.89000000000,44.65109714000,-74.78684021000,27-Nov-2018,,,31-Jan-2019,31-Jan-2019,,,207,Whisky Flats,,Pine,,0,0,50,0,TRUE,,,,70,,eastern hemlock,,,,,3.52300000000,24,22135.66183720000,38991968.32620000000,P2,P2_C0024
C0025,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,3,Bushnell,Bushnell HD,1,12,C001_SD012,3,camera,,,,4919142.96000000000,492189.69000000000,44.42553928000,-75.09812075000,16-May-2019,,,,7-Sep-2019,,,0,Donnerville,,Deciduous,,0,0,0,0,TRUE,,,,322,,white oak,,TRUE,Do not use,On incline; Do Not Use,3.52300000000,25,22135.66183720000,38991968.32620000000,P2,P2_C0025
C0026,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,Erika,2,Bushnell,Bushnell HD,1,23,C001_SD023,4,camera,,,,0.00000000000,0.00000000000,44.37094000000,-75.10130000000,27-Sep-2019,,,17-Nov-2019,17-Nov-2019,,,0,Degrasse,,Pine,,0,2,0,0,TRUE,,,,352,,eastern hemlock,,,,"Erika, Hemlock grove; Snapshot USA deployment 6",3.52300000000,26,22135.66183720000,38991968.32620000000,P2,P2_C0026
C0027,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,2,7,C002_SD007,4,camera,,,,4913217.76000000000,441649.77000000000,44.36989155000,-75.73235829000,20-Sep-2019,,,25-Sep-2019,7-Dec-2019,,,0,South Hammond,,Deciduous,,0,0,0,1,TRUE,,,,46,,red oak,,,,,3.52300000000,27,22135.66183720000,38991968.32620000000,P2,P2_C0027
C0028,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,8,Bushnell,Bushnell HD,2,42,C002_SD042,2,camera,,,,4917092.18000000000,489602.77000000000,44.40704194000,-75.13057878000,24-Jan-2019,,,22-Apr-2019,13-May-2019,,,0,Whippoorwill,,Pine,,3,0,0,0,TRUE,,,,81,,red maple,,,,only 7 batteries,3.52300000000,28,22135.66183720000,38991968.32620000000,P2,P2_C0028
C0029,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,3,Bushnell,Bushnell HD,3,5,C003_SD005,3,camera,,,,4912616.87000000000,442635.76000000000,44.36455989000,-75.71991762000,10-May-2019,,,31-Aug-2019,31-Aug-2019,,,0,South Hammond,,Deciduous,,2,0,0,0,TRUE,,,,30,,white pine,,,,,3.52300000000,29,22135.66183720000,38991968.32620000000,P2,P2_C0029
C0030,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,6,Bushnell,Bushnell HD,3,7,C003_SD007,2,camera,,,,4913567.75000000000,442600.63000000000,44.37311821000,-75.72046429000,11-Feb-2019,,,10-May-2019,10-May-2019,,,0,South Hammond,,Deciduous,,0,0,0,0,TRUE,,,,46,,white pine,,,,,3.52300000000,30,22135.66183720000,38991968.32620000000,P2,P2_C0030
C0031,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,"Leslie, Cole",4,Bushnell,Bushnell HD,3,39,C003_SD039,4,camera,,,,0.00000000000,0.00000000000,44.64314000000,-74.81220000000,29-Sep-2019,,,6-Dec-2019,6-Dec-2019,,,0,Whisky Flats,,Pine,,0,2,0,0,TRUE,,,,215,,red pine,,,,"Set up by Cole and Leslie, open understory, slight hill",3.52300000000,31,22135.66183720000,38991968.32620000000,P2,P2_C0031
C0032,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,1,Bushnell,Bushnell HD,4,11,C004_SD011,3,camera,,,,4916311.32000000000,488773.81000000000,44.39999834000,-75.14097331000,13-May-2019,,,,4-Sep-2019,,,0,Whippoorwill,,Pine,,0,0,0,0,TRUE,,,,78,,white oak,,TRUE,Do not use,Do Not Use,3.52300000000,32,22135.66183720000,38991968.32620000000,P2,P2_C0032
C0033,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,Cole,3,Bushnell,Bushnell HD,4,12,C004_SD012,4,camera,,,,0.00000000000,0.00000000000,44.42517000000,-75.50780000000,19-Oct-2019,,,15-Dec-2019,2-Feb-2020,,,0,Beaver Creek,,Deciduous,,0,1,0,0,TRUE,,,,284,,sugar maple,,,,"4 batteries; Placed by Cole, strap on camera broke (tied)",3.52300000000,33,22135.66183720000,38991968.32620000000,P2,P2_C0033
C0034,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,8,Bushnell,Bushnell HD,4,36,C004_SD036,2,camera,,,,4945167.40000000000,518596.73000000000,44.65962553000,-74.76543171000,31-Jan-2019,,,26-Mar-2019,15-May-2019,,,0,Whisky Flats,,Pine,,2,0,0,0,TRUE,,,,232,,red pine,,,,"No scale bar, placed stick",3.52300000000,34,22135.66183720000,38991968.32620000000,P2,P2_C0034
C0035,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,"Leslie, Cole",3,Bushnell,Bushnell HD,5,34,C005_SD034,4,camera,,,,0.00000000000,0.00000000000,44.64922000000,-74.74710000000,29-Sep-2019,,,6-Dec-2019,6-Dec-2019,,,0,Whisky Flats,,Pine,,0,1,0,0,TRUE,,,,358,,American Beech,,,,Set up by Cole and Leslie,3.52300000000,35,22135.66183720000,38991968.32620000000,P2,P2_C0035
C0036,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,Erika,4,Bushnell,Bushnell HD,6,5,C006_SD005,4,camera,,,,0.00000000000,0.00000000000,44.36760000000,-75.08170000000,27-Sep-2019,,,,17-Nov-2019,,,0,Degrasse,,Pine,,0,0,0,0,FALSE,,,,30,,American beech,,TRUE,Do not use,"Erika, nice white pine forest with hardwood understory; 5 batteries; Do Not Use",3.52300000000,36,22135.66183720000,38991968.32620000000,P2,P2_C0036
C0037,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,7,Bushnell,Bushnell HD,6,9,C006_SD009,2,camera,,,,4920438.66000000000,493661.63000000000,44.43722132000,-75.07964514000,28-Feb-2019,,,,16-May-2019,,,0,Donnerville,,Deciduous,,3,0,0,0,TRUE,,,,271,,red maple,,TRUE,Do not use,,3.52300000000,37,22135.66183720000,38991968.32620000000,P2,P2_C0037
C0038,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,1,Bushnell,Bushnell HD,6,41,C006_SD041,3,camera,,,,4919655.86000000000,491207.39000000000,44.43014646000,-75.11047005000,16-May-2019,,,6-Sep-2019,7-Sep-2019,,,0,Donnerville,,Deciduous,,0,0,0,0,TRUE,,,,51,,sugar maple,,,,,3.52300000000,38,22135.66183720000,38991968.32620000000,P2,P2_C0038
C0039,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,1,Bushnell,Bushnell HD,6,42,C006_SD042,3,camera,,,,4943550.34000000000,516026.09000000000,44.64513061000,-74.79790616000,15-May-2019,,,,3-Sep-2019,,,0,Whisky Flats,,Pine,,0,0,0,0,TRUE,,,,185,,yellow birch,,TRUE,Do not use,Only 6 batteries; Do Not Use,3.52300000000,39,22135.66183720000,38991968.32620000000,P2,P2_C0039
C0040,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,7,9,C007_SD009,3,camera,,,,4919912.73000000000,493559.53000000000,44.43248494000,-75.08092154000,16-May-2019,,,17-May-2019,7-Sep-2019,,,0,Donnerville,,Deciduous,,0,0,0,0,TRUE,,,,63,,sugar maple,,,,Out of Browning so 3 Bushnell at this site,3.52300000000,40,22135.66183720000,38991968.32620000000,P2,P2_C0040
C0041,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,"Erika, Cole",1,Bushnell,Bushnell HD,7,42,C007_SD042,4,camera,,,,0.00000000000,0.00000000000,44.40342000000,-75.13920000000,27-Sep-2019,,,11-Nov-2019,12-Nov-2019,,,0,Whippoorwill,,Pine,,0,0,1,0,TRUE,,,,241,,red maple,,,,"Cole and Erika, no lock, looks like game trail goes right past; Snapshot USA deployment 2",3.52300000000,41,22135.66183720000,38991968.32620000000,P2,P2_C0041
C0042,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,5,Bushnell,Bushnell HD,8,11,C008_SD011,2,camera,,,,0.00000000000,0.00000000000,44.35684205000,-75.09356519000,7-Feb-2019,,,18-Apr-2019,13-May-2019,,,0,Degrasse,,Pine,,0,0,0,0,TRUE,,,,324,,white pine,,,,,3.52300000000,42,22135.66183720000,38991968.32620000000,P2,P2_C0042
C0043,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,3,Bushnell,Bushnell HD,8,21,C008_SD021,3,camera,,,,4912616.35000000000,493123.85000000000,44.36678701000,-75.08629926000,13-May-2019,,,,8-Sep-2019,,,0,Degrasse,,Pine,,0,0,0,0,TRUE,,,,105,,sugar maple,,TRUE,Do not use,Elevated so may not show scale - lots of trees down; Do Not Use,3.52300000000,43,22135.66183720000,38991968.32620000000,P2,P2_C0043
C0044,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,6,Bushnell,Bushnell HD,9,34,C009_SD034,2,camera,,,,0.00000000000,0.00000000000,44.65095273000,-74.77264139000,31-Jan-2019,,,,15-May-2019,,,0,Whisky Flats,,Pine,,2,0,0,0,TRUE,,,,178,,red pine,,,,GPS Collection DID NOT STORE. Do again once collected. Very Harvested area. NO understory; No Photos. Scale stick lost at other sites.,3.52300000000,44,22135.66183720000,38991968.32620000000,P2,P2_C0044
C0045,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,1,Bushnell,Bushnell HD,10,1,C010_SD001,3,camera,,,,4914676.24000000000,442481.03000000000,44.38308316000,-75.72208794000,10-May-2019,,,,31-Aug-2019,,,0,South Hammond,,Deciduous,,0,0,0,0,TRUE,,,,280,,white pine,,TRUE,Do not use,,3.52300000000,45,22135.66183720000,38991968.32620000000,P2,P2_C0045
C0046,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,7,Bushnell,Bushnell HD,10,25,C010_SD025,2,camera,,,,4914270.81000000000,442282.12000000000,44.37942147000,-75.72453975000,11-Feb-2019,,,10-May-2019,10-May-2019,,,0,South Hammond,,Deciduous,,3,0,0,0,TRUE,,,,302,,white pine,,,,,3.52300000000,46,22135.66183720000,38991968.32620000000,P2,P2_C0046
C0047,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,2,Bushnell,Bushnell HD,10,35,C010_SD035,4,camera,,,,4919253.37000000000,492689.85000000000,44.42653000000,-75.09180000000,17-Sep-2019,,,15-Nov-2019,15-Nov-2019,,,0,Donnerville,,Deciduous,,0,2,0,0,TRUE,,,,161,,red maple,,,,Snapshot USA deployment 10,3.52300000000,47,22135.66183720000,38991968.32620000000,P2,P2_C0047
C0048,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,6,Bushnell,Bushnell HD,11,21,C011_SD021,2,camera,,,,4918464.15000000000,459540.35000000000,44.41833779000,-75.50823242000,4-Mar-2019,,,,11-May-2019,,,0,Beaver Creek,,Deciduous,,2,1,0,0,TRUE,,,,98,,red maple,,TRUE,Do not use,Do Not Use,3.52300000000,48,22135.66183720000,38991968.32620000000,P2,P2_C0048
C0049,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,3,Bushnell,Bushnell HD,11,31,C011_SD031,3,camera,,,,4911511.80000000000,492543.64000000000,44.42460391000,-75.49174529000,11-May-2019,,,,6-Sep-2019,,,0,Beaver Creek,,Deciduous,,0,0,0,0,TRUE,,,,222,,sugar maple,,TRUE,Do not use,,3.52300000000,49,22135.66183720000,38991968.32620000000,P2,P2_C0049
C0050,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,5,Bushnell,Bushnell HD,14,5,C014_SD005,2,camera,,,,4920882.47000000000,493118.26000000000,44.44120460000,-75.08647785000,28-Feb-2019,,,22-Apr-2019,16-May-2019,,,0,Donnerville,,Deciduous,,3,0,0,0,TRUE,,,,256,,American beech,,,,,3.52300000000,50,22135.66183720000,38991968.32620000000,P2,P2_C0050
C0051,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,3,Bushnell,Bushnell HD,14,17,C014_SD017,3,camera,,,,4944852.71000000000,516789.17000000000,44.65684332000,-74.78824063000,15-May-2019,,,3-Sep-2019,3-Sep-2019,,,0,Whisky Flats,,Pine,,0,0,0,0,TRUE,,,,121,,sugar maple,,,,"906 photos, but there is occassionally something present",3.52300000000,51,22135.66183720000,38991968.32620000000,P2,P2_C0051
C0052,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,14,25,C014_SD025,4,camera,,,,4920069.23000000000,492663.69000000000,44.43388000000,-75.09220000000,17-Sep-2019,,,6-Nov-2019,6-Nov-2019,,,0,Donnerville,,Deciduous,,0,1,0,0,TRUE,,,,244,,red maple,,,,Near foot paths; 5 batteries; Snapshot USA deployment 1,3.52300000000,52,22135.66183720000,38991968.32620000000,P2,P2_C0052
C0053,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,3,Bushnell,Bushnell HD,15,6,C015_SD006,4,camera,,,,0.00000000000,0.00000000000,44.37603000000,-75.72760000000,20-Sep-2019,,,7-Dec-2019,7-Dec-2019,,,0,South Hammond,,Deciduous,,0,1,0,0,TRUE,,,,13,,white pine,,,,Stake isn't in up to the first black tape mark- half in,3.52300000000,53,22135.66183720000,38991968.32620000000,P2,P2_C0053
C0054,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,15,16,C015_SD016,3,camera,,,,4917138.75000000000,487590.34000000000,44.40743338000,-75.15585488000,13-May-2019,,,3-Sep-2019,4-Sep-2019,,,0,Whippoorwill,,Pine,,0,0,0,0,TRUE,,,,168,,,,,,"Tree species unknown; shaggy bark, beech tree-like leaves",3.52300000000,54,22135.66183720000,38991968.32620000000,P2,P2_C0054
C0055,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,6,Bushnell,Bushnell HD,15,35,C015_SD035,2,camera,,,,0.00000000000,0.00000000000,44.35970870000,-75.08890532000,7-Feb-2019,,,18-Apr-2019,16-May-2019,,,0,Degrasse,,Pine,,3,0,0,0,TRUE,,,,334,,red pine,,TRUE,Check dates on images,Potential incorrect date on the camera (last photo is of me but I collected) camera on 5/16/2019,3.52300000000,55,22135.66183720000,38991968.32620000000,P2,P2_C0055
C0056,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,17,7,C017_SD007,3,camera,,,,4917603.10000000000,457966.24000000000,44.41049697000,-75.52793483000,11-May-2019,,,,8-Sep-2019,,,0,Beaver Creek,,Deciduous,,0,0,0,0,TRUE,,,,234,,sugar maple,,TRUE,Do not use,"On top of mountain, saw a porkie!",3.52300000000,56,22135.66183720000,38991968.32620000000,P2,P2_C0056
C0057,2019,2018-2019,North Country Wild,Wildlife Diversity A2A corridor,,5,Bushnell,Bushnell HD,17,8,C017_SD008,2,camera,,,,4920261.96000000000,459930.07000000000,44.43454594000,-75.50347507000,4-Mar-2019,,,11-May-2019,11-May-2019,,,0,Beaver Creek,,Deciduous,,0,1,0,0,TRUE,,,,189,,white pine,,,,No scale pvc; used actual stick instead.,3.52300000000,57,22135.66183720000,38991968.32620000000,P2,P2_C0057
C0058,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,Erika,2,Bushnell,Bushnell HD,17,26,C017_SD026,4,camera,,,,0.00000000000,0.00000000000,44.40566000000,-75.14830000000,27-Sep-2019,,,15-Nov-2019,15-Nov-2019,,,0,Whippoorwill,,Pine,,0,2,0,0,TRUE,,,,233,,eastern hemlock,,,,"ELB, Along slope, pointed toward game trail; Snapshot USA deployment 12",3.52300000000,58,22135.66183720000,38991968.32620000000,P2,P2_C0058
C0059,2019,2019-2020,North Country Wild,Wildlife Diversity A2A corridor,,4,Bushnell,Bushnell HD,18,11,C018_SD011,4,camera,,,,0.00000000000,0.00000000000,44.41154000000,-75.51650000000,19-Oct-2019,,,,5-Mar-2020,,,0,Beaver Creek,,Deciduous,,0,0,0,0,FALSE,,,,180,,sugar maple,,TRUE,Do not use,7 batteries; Do Not Use,3.52300000000,59,22135.66183720000,38991968.32620000000,P2,P2_C0059
